close,realized_absolute_vol
4377.22,1.181898666000941
4391.48,0.3257775483069005
4315.83,1.7226538661225748
4219.53,2.231320510770818
4301.09,1.932916699253244
4362.95,1.4382400740277388
4423.3,1.3832384052074942
4597.98,3.949087785137779
4764.7,3.6259400867337455
4749.29,0.32342015237055544
4822.01,1.531176238974673
5445.0,12.919716052019794
5653.6,3.8310376492194744
5801.29,2.612317815197389
5679.7,2.0959131503510453
5745.72,1.1623853372537358
5597.31,2.582966103464837
5582.05,0.27263096022911393
5698.69,2.0895549126216966
5977.29,4.888842874415004
6013.46,0.6051237266386619
5969.0,0.7393414107685099
5871.17,1.6389680013402568
5523.4,5.923350882362467
5735.88,3.8469058912988463
5890.0,2.686946030949042
5771.89,2.0052631578947313
5730.69,0.7138043171301034
6137.37,7.096527643268094
6119.99,0.28318318758686717
6434.21,5.134322114905421
6741.59,4.777276464398895
7030.0,4.278070900188232
7146.82,1.6617354196301524
7388.83,3.386261302229526
7372.72,0.2180318128851208
6967.68,5.493766208400698
7130.28,2.333631854505365
7450.32,4.488463286154261
7148.0,4.057812281888559
6588.18,7.831841074426409
6355.13,3.5373957602858477
5870.37,7.627853403470899
6525.17,11.15432247030426
6609.0,1.2847174862877124
7294.0,10.36465425934332
7846.96,7.5810255004112985
7674.99,2.1915493388522465
7771.03,1.2513371352926839
8016.58,3.159812791869291
8226.17,2.6144565388232905
8095.23,1.5917492587680597
8214.69,1.475683828625017
7989.0,2.7473952151572427
8199.19,2.6309926148454186
8717.99,6.327454297314726
9271.06,6.344008194549429
9708.07,4.7137004830084175
9868.82,1.655838905158286
9824.68,0.4472672518092276
9947.67,1.2518473884136663
10840.45,8.974764944956966
10872.0,0.29103957861527213
11250.0,3.47682119205298
11613.07,3.2272888888888867
11677.0,0.5505004275355293
13623.5,16.66952128115098
16599.99,21.848203471941876
15800.0,4.819219770614329
14607.49,7.547531645569622
14691.0,0.5716930150217472
16470.0,12.109454768225444
16650.01,1.0929568913175374
16250.0,2.402461019542922
16404.99,0.9537846153846252
17471.5,6.501131667864462
19187.78,9.823312251380814
18953.0,1.2235912648571061
18940.57,0.06558328496808047
17700.0,6.549802883440147
16466.98,6.966214689265539
15600.01,5.264899817695773
14009.79,10.19371141428755
14619.0,4.348459184613039
14157.87,3.1543197209111375
13911.28,1.7417167977951495
15764.44,13.321275971729415
15364.93,2.5342479656746466
14470.07,5.82404215313705
14340.0,0.8988899155290867
12640.0,11.85495118549512
13880.0,9.81012658227848
13443.41,3.1454610951008655
14678.94,9.190599706473288
15155.62,3.247373447946516
15143.67,0.07884863832690928
16928.0,11.782678835447417
17149.67,1.309487240075604
16124.02,5.980581550548774
14999.99,6.9711523553059385
14403.51,3.97653598435732
14890.02,3.377718347819387
13243.83,11.055660099852119
13781.41,4.059097708140318
14197.78,3.0212438349922164
13647.99,3.8723659614390478
13607.04,0.3000441823301373
11386.34,16.3202283523823
11191.35,1.7124905808187687
11247.57,0.5023522631317879
11552.0,2.706629076324933
12775.99,10.595481301939056
11558.87,9.52661985489969
10808.99,6.487485368379444
10851.82,0.39624423743568943
11400.96,5.060349323892209
11155.54,2.1526257437969982
11092.95,0.5610665194154666
11446.54,3.187520001442359
11685.58,2.088316644156217
11162.62,4.475259251145421
9971.0,10.67509240662139
10149.0,1.7851770133386822
8998.99,11.33126416395704
8838.83,1.7797552836484969
9225.86,4.378746960853423
8191.0,11.216948880646363
6874.27,16.075326577951405
7737.37,12.555514985591188
7588.01,1.93037168960512
8259.76,8.852782218262758
8693.98,5.257053473708671
8560.0,1.5410663470585344
8067.0,5.759345794392523
8899.0,10.31362340399157
8522.99,4.225306214181371
9490.98,11.357399222573296
10018.0,5.552851233486958
10196.0,1.7768017568376921
11101.0,8.876029815613967
10421.06,6.125033780740479
11173.0,7.215580756660077
11233.41,0.5406784211939484
10449.4,6.9792698744192565
9843.34,5.799950236377203
10166.1,3.2789683176645346
9689.99,4.683310217290805
9590.04,1.0314768126695582
10324.7,7.6606562642074465
10566.3,2.3400195647331015
10314.9,2.379262371880409
10903.13,5.702721306071795
11029.99,1.163519099561324
11445.0,3.762560074850478
11463.27,0.1596330275229396
11419.24,0.38409633551334527
10723.76,6.090422830240888
9913.03,7.560128164002173
9285.32,6.3321708902323595
9230.0,0.5957791438528743
8791.47,4.751137594799574
9535.04,8.457857445910657
9120.75,4.34492146860423
9142.32,0.2364937093988949
8196.69,10.34343580185335
8265.05,0.8339951858615949
8258.54,0.07876540371804647
7860.83,4.815742249840782
8188.24,4.165081804338726
8596.93,4.991182476331916
8904.02,3.572089106227457
8893.79,0.11489192522028885
8704.67,2.126427541014582
8920.79,2.482805206860235
8547.0,4.190099755739131
8453.9,1.0892710892710935
8149.66,3.598812382450701
7791.7,4.392330477590477
7932.41,1.8058960175571446
7088.38,10.640271998043467
6850.0,3.362968689601857
6928.62,1.1477372262773706
6813.52,1.6612254676977443
7052.76,3.5112540947997477
7416.27,5.154152416926142
6799.95,8.310377049379278
6771.69,0.41559129111243787
6618.33,2.2647226910859724
6904.9,4.329944260863386
7027.26,1.772074903329528
6780.1,3.517160315684916
6835.67,0.8196044306131134
6940.94,1.5400099770761244
7923.78,14.160041723455327
7896.92,0.338979628409669
8000.41,1.310510933376554
8354.22,4.422398352084449
8048.15,3.663657409069904
7890.87,1.9542379304560646
8172.84,3.5733702367419595
8271.31,1.2048443380758629
8861.0,7.129342268637018
8920.71,0.6738517097392972
8789.96,1.465690511181285
8946.95,1.786014953424152
9648.0,7.835631136867863
8864.99,8.115775290215591
