close,realized_absolute_vol,datetime
4377.22,1.181898666000941,2017-10-01
4391.48,0.3257775483069005,2017-10-02
4315.83,1.7226538661225748,2017-10-03
4219.53,2.231320510770818,2017-10-04
4301.09,1.932916699253244,2017-10-05
4362.95,1.4382400740277388,2017-10-06
4423.3,1.3832384052074942,2017-10-07
4597.98,3.949087785137779,2017-10-08
4764.7,3.6259400867337455,2017-10-09
4749.29,0.32342015237055544,2017-10-10
4822.01,1.531176238974673,2017-10-11
5445.0,12.919716052019794,2017-10-12
5653.6,3.8310376492194744,2017-10-13
5801.29,2.612317815197389,2017-10-14
5679.7,2.0959131503510453,2017-10-15
5745.72,1.1623853372537358,2017-10-16
5597.31,2.582966103464837,2017-10-17
5582.05,0.27263096022911393,2017-10-18
5698.69,2.0895549126216966,2017-10-19
5977.29,4.888842874415004,2017-10-20
6013.46,0.6051237266386619,2017-10-21
5969.0,0.7393414107685099,2017-10-22
5871.17,1.6389680013402568,2017-10-23
5523.4,5.923350882362467,2017-10-24
5735.88,3.8469058912988463,2017-10-25
5890.0,2.686946030949042,2017-10-26
5771.89,2.0052631578947313,2017-10-27
5730.69,0.7138043171301034,2017-10-28
6137.37,7.096527643268094,2017-10-29
6119.99,0.28318318758686717,2017-10-30
6434.21,5.134322114905421,2017-10-31
6741.59,4.777276464398895,2017-11-01
7030.0,4.278070900188232,2017-11-02
7146.82,1.6617354196301524,2017-11-03
7388.83,3.386261302229526,2017-11-04
7372.72,0.2180318128851208,2017-11-05
6967.68,5.493766208400698,2017-11-06
7130.28,2.333631854505365,2017-11-07
7450.32,4.488463286154261,2017-11-08
7148.0,4.057812281888559,2017-11-09
6588.18,7.831841074426409,2017-11-10
6355.13,3.5373957602858477,2017-11-11
5870.37,7.627853403470899,2017-11-12
6525.17,11.15432247030426,2017-11-13
6609.0,1.2847174862877124,2017-11-14
7294.0,10.36465425934332,2017-11-15
7846.96,7.5810255004112985,2017-11-16
7674.99,2.1915493388522465,2017-11-17
7771.03,1.2513371352926839,2017-11-18
8016.58,3.159812791869291,2017-11-19
8226.17,2.6144565388232905,2017-11-20
8095.23,1.5917492587680597,2017-11-21
8214.69,1.475683828625017,2017-11-22
7989.0,2.7473952151572427,2017-11-23
8199.19,2.6309926148454186,2017-11-24
8717.99,6.327454297314726,2017-11-25
9271.06,6.344008194549429,2017-11-26
9708.07,4.7137004830084175,2017-11-27
9868.82,1.655838905158286,2017-11-28
9824.68,0.4472672518092276,2017-11-29
9947.67,1.2518473884136663,2017-11-30
10840.45,8.974764944956966,2017-12-01
10872.0,0.29103957861527213,2017-12-02
11250.0,3.47682119205298,2017-12-03
11613.07,3.2272888888888867,2017-12-04
11677.0,0.5505004275355293,2017-12-05
13623.5,16.66952128115098,2017-12-06
16599.99,21.848203471941876,2017-12-07
15800.0,4.819219770614329,2017-12-08
14607.49,7.547531645569622,2017-12-09
14691.0,0.5716930150217472,2017-12-10
16470.0,12.109454768225444,2017-12-11
16650.01,1.0929568913175374,2017-12-12
16250.0,2.402461019542922,2017-12-13
16404.99,0.9537846153846252,2017-12-14
17471.5,6.501131667864462,2017-12-15
19187.78,9.823312251380814,2017-12-16
18953.0,1.2235912648571061,2017-12-17
18940.57,0.06558328496808047,2017-12-18
17700.0,6.549802883440147,2017-12-19
16466.98,6.966214689265539,2017-12-20
15600.01,5.264899817695773,2017-12-21
14009.79,10.19371141428755,2017-12-22
14619.0,4.348459184613039,2017-12-23
14157.87,3.1543197209111375,2017-12-24
13911.28,1.7417167977951495,2017-12-25
15764.44,13.321275971729415,2017-12-26
15364.93,2.5342479656746466,2017-12-27
14470.07,5.82404215313705,2017-12-28
14340.0,0.8988899155290867,2017-12-29
12640.0,11.85495118549512,2017-12-30
13880.0,9.81012658227848,2017-12-31
13443.41,3.1454610951008655,2018-01-01
14678.94,9.190599706473288,2018-01-02
15155.62,3.247373447946516,2018-01-03
15143.67,0.07884863832690928,2018-01-04
16928.0,11.782678835447417,2018-01-05
17149.67,1.309487240075604,2018-01-06
16124.02,5.980581550548774,2018-01-07
14999.99,6.9711523553059385,2018-01-08
14403.51,3.97653598435732,2018-01-09
14890.02,3.377718347819387,2018-01-10
13243.83,11.055660099852119,2018-01-11
13781.41,4.059097708140318,2018-01-12
14197.78,3.0212438349922164,2018-01-13
13647.99,3.8723659614390478,2018-01-14
13607.04,0.3000441823301373,2018-01-15
11386.34,16.3202283523823,2018-01-16
11191.35,1.7124905808187687,2018-01-17
11247.57,0.5023522631317879,2018-01-18
11552.0,2.706629076324933,2018-01-19
12775.99,10.595481301939056,2018-01-20
11558.87,9.52661985489969,2018-01-21
10808.99,6.487485368379444,2018-01-22
10851.82,0.39624423743568943,2018-01-23
11400.96,5.060349323892209,2018-01-24
11155.54,2.1526257437969982,2018-01-25
11092.95,0.5610665194154666,2018-01-26
11446.54,3.187520001442359,2018-01-27
11685.58,2.088316644156217,2018-01-28
11162.62,4.475259251145421,2018-01-29
9971.0,10.67509240662139,2018-01-30
10149.0,1.7851770133386822,2018-01-31
8998.99,11.33126416395704,2018-02-01
8838.83,1.7797552836484969,2018-02-02
9225.86,4.378746960853423,2018-02-03
8191.0,11.216948880646363,2018-02-04
6874.27,16.075326577951405,2018-02-05
7737.37,12.555514985591188,2018-02-06
7588.01,1.93037168960512,2018-02-07
8259.76,8.852782218262758,2018-02-08
8693.98,5.257053473708671,2018-02-09
8560.0,1.5410663470585344,2018-02-10
8067.0,5.759345794392523,2018-02-11
8899.0,10.31362340399157,2018-02-12
8522.99,4.225306214181371,2018-02-13
9490.98,11.357399222573296,2018-02-14
10018.0,5.552851233486958,2018-02-15
10196.0,1.7768017568376921,2018-02-16
11101.0,8.876029815613967,2018-02-17
10421.06,6.125033780740479,2018-02-18
11173.0,7.215580756660077,2018-02-19
11233.41,0.5406784211939484,2018-02-20
10449.4,6.9792698744192565,2018-02-21
9843.34,5.799950236377203,2018-02-22
10166.1,3.2789683176645346,2018-02-23
9689.99,4.683310217290805,2018-02-24
9590.04,1.0314768126695582,2018-02-25
10324.7,7.6606562642074465,2018-02-26
10566.3,2.3400195647331015,2018-02-27
10314.9,2.379262371880409,2018-02-28
10903.13,5.702721306071795,2018-03-01
11029.99,1.163519099561324,2018-03-02
11445.0,3.762560074850478,2018-03-03
11463.27,0.1596330275229396,2018-03-04
11419.24,0.38409633551334527,2018-03-05
10723.76,6.090422830240888,2018-03-06
